50:50
1,2,16
1,2,17
1,2,18
1,2,19
1,2,20
1,2,21
1,2,22
1,5,16
1,4,16
1,6,16
1,7,16
1,3,22
1,4,22
1,6,22
1,5,22
1,8,22
1,7,22
1,8,16
1,9,23
1,10,24
1,12,19
1,13,19
1,14,19
1,9,16
1,10,17
1,11,18
1,9,24
1,10,25
1,9,22
1,11,25
1,12,25
1,13,25
1,14,25
1,15,25
1,3,16
1,11,17
1,12,18
1,10,16
1,15,19
1,16,19
1,17,19
1,18,19
1,19,19
1,20,19
1,21,19
1,23,19
1,22,19
1,24,19
1,25,19
1,27,19
1,26,19
1,28,19
1,29,19
1,30,19
1,32,19
1,33,19
1,31,19
1,34,19
1,36,19
1,35,19
1,16,25
1,17,25
1,18,25
1,20,25
1,21,25
1,19,25
1,22,25
1,23,25
1,24,25
1,25,25
1,26,25
1,28,25
1,27,25
1,29,25
1,31,25
1,30,25
1,33,25
1,32,25
1,35,25
1,34,25
1,36,25
1,16,18
1,16,17
1,16,16
1,16,15
1,16,14
1,16,13
1,16,12
1,16,11
1,16,10
1,16,9
1,16,8
1,17,18
1,17,17
1,17,15
1,17,16
1,17,14
1,17,13
1,17,12
1,17,11
1,17,10
1,17,9
1,17,8
5,18,8
5,19,8
5,20,8
5,21,8
5,22,8
5,23,8
5,23,9
5,23,10
5,23,11
5,23,13
5,23,12
5,22,13
5,21,13
5,20,13
5,19,13
5,18,13
5,18,12
5,18,11
5,18,10
5,18,9
5,19,9
5,20,10
5,20,9
5,21,9
5,22,9
5,22,10
5,21,10
5,19,11
5,19,10
5,19,12
5,20,12
5,20,11
5,21,11
5,21,12
5,22,11
5,22,12
1,18,14
1,19,14
1,20,14
1,21,14
1,22,14
1,23,14
1,22,15
1,23,15
1,21,15
1,20,15
1,18,15
1,19,15
5,18,16
5,18,17
5,18,18
5,19,18
5,19,17
5,19,16
5,20,16
5,20,18
5,20,17
5,21,16
5,21,17
5,21,18
5,22,18
5,22,17
5,22,16
5,23,16
5,23,17
5,23,18
1,24,18
1,24,17
1,24,16
1,24,15
1,24,14
1,24,13
1,24,12
1,24,11
1,24,10
1,24,9
1,24,8
1,25,8
1,25,9
1,25,10
1,25,11
1,25,13
1,25,14
1,25,12
1,25,15
1,25,16
1,25,17
1,25,18
5,26,16
5,26,17
5,27,18
5,26,18
5,27,17
5,27,16
5,28,16
5,28,17
5,29,16
5,30,16
5,31,16
5,31,17
5,30,17
5,29,17
5,29,18
5,28,18
5,31,18
5,30,18
1,26,15
1,27,15
1,28,15
1,29,15
1,30,15
1,31,15
1,32,15
1,32,16
1,32,17
1,32,18
1,33,18
1,33,17
1,33,16
1,33,15
1,32,14
1,33,14
1,31,14
1,30,14
1,29,14
1,28,14
1,26,14
1,27,14
5,26,8
5,26,9
5,26,10
5,26,11
5,26,12
5,26,13
5,27,13
5,29,13
5,28,13
5,30,13
5,31,13
1,32,13
1,33,13
1,33,12
1,33,11
1,33,10
1,33,9
1,33,8
1,32,8
5,31,8
5,29,8
5,30,8
5,28,8
5,27,8
5,27,9
5,27,10
5,27,11
5,27,12
5,28,12
5,28,11
5,28,10
5,28,9
5,29,9
5,29,10
5,29,11
5,29,12
5,30,12
5,30,11
5,30,10
5,30,9
1,32,9
5,31,9
5,31,10
1,32,10
1,32,12
5,31,12
5,31,11
1,32,11
1,37,19
1,38,19
1,40,19
1,41,19
1,39,19
1,42,19
1,43,19
1,43,25
1,42,25
1,41,25
1,40,25
1,39,25
1,37,25
1,38,25
1,16,7
1,17,7
1,18,7
1,19,7
1,20,7
1,22,7
1,21,7
1,23,7
1,25,7
1,24,7
1,26,7
1,27,7
1,29,7
1,28,7
1,31,7
1,30,7
1,32,7
1,33,7
5,34,16
5,35,16
5,36,16
5,37,16
5,38,16
5,39,16
5,34,17
5,35,17
5,36,17
5,37,17
5,38,17
5,39,17
5,38,18
5,39,18
5,37,18
5,35,18
5,36,18
5,34,18
5,34,13
5,35,13
5,36,13
5,37,13
5,38,13
5,39,13
5,39,12
5,39,11
5,39,10
5,39,9
5,39,8
5,37,8
5,38,8
5,36,8
5,35,8
5,34,8
5,34,10
5,34,9
5,34,12
5,34,11
5,35,12
5,36,12
5,37,12
5,38,12
5,38,11
5,37,9
5,38,9
5,38,10
5,36,9
5,37,10
5,37,11
5,36,11
5,36,10
5,35,9
5,35,11
5,35,10
1,34,14
1,35,14
1,36,14
1,38,14
1,37,14
1,39,14
1,39,15
1,38,15
1,36,15
1,37,15
1,35,15
1,34,15
1,34,7
1,35,7
1,36,7
1,37,7
1,38,7
1,39,7
1,40,7
1,40,8
7,40,10
1,40,9
1,40,12
1,40,11
1,40,14
1,40,13
1,40,15
7,40,16
1,40,17
1,40,18
1,41,18
7,41,16
7,41,17
7,41,15
1,41,14
1,41,13
1,41,12
7,41,11
7,41,10
7,41,9
1,41,7
1,41,8
1,42,7
1,42,8
7,42,9
7,42,10
1,42,12
7,42,11
1,42,13
1,42,14
7,42,16
7,42,15
7,42,17
1,42,18
1,43,18
1,43,17
7,43,16
1,43,15
1,43,14
1,43,13
1,43,11
7,43,10
1,43,12
1,43,9
1,43,8
1,43,7
1,28,26
1,28,27
1,28,28
1,28,29
1,28,30
1,28,32
1,28,31
1,29,26
1,29,27
1,29,28
1,29,29
1,29,31
1,29,32
1,29,30
1,29,33
1,28,34
1,28,33
1,29,34
1,29,35
1,28,35
1,28,37
1,29,36
1,28,36
1,29,37
1,20,26
1,20,27
1,20,28
1,20,29
1,20,31
1,20,32
1,20,33
1,20,34
1,20,36
1,20,37
1,20,35
1,21,30
1,20,30
1,21,28
1,21,26
1,21,27
1,21,29
1,21,31
1,21,33
1,21,34
1,21,32
1,21,35
1,21,37
1,21,36
1,36,27
1,36,26
1,37,27
1,37,26
1,37,28
1,36,28
1,36,30
1,36,29
1,36,31
1,36,32
1,36,34
1,36,33
1,36,36
1,36,35
1,36,37
1,37,37
1,37,35
1,37,36
